"GUIDE_A","GUIDE_B","GUIDE_C","GUIDE_D","RELTRAD","RELPER","IDEO","PARTY","WEIGHT","RELTRADlabels","PARTYlabels"
"Extremely important",1,1,3,20000,2,4,3,28516.9095676913,"Mormon","Independent"
"Extremely important",2,2,2,10000,2,2,2,7513.52928461355,"Catholic","Democrat"
"Somewhat important",2,2,2,1200,2,2,2,3713.66103609686,"Mainline Protestant","Democrat"
"Extremely important",1,1,2,1100,1,2,2,8733.9365541922,"Evangelical Protestant","Democrat"
"Somewhat important",1,1,3,10000,2,2,3,16142.6526444465,"Catholic","Independent"
"Not too important",1,1,2,100000,3,3,4,2820.51391179858,"Religiously Unaffiliated","Something else"
"Somewhat important",1,2,1,1100,2,5,2,3499.91190692239,"Evangelical Protestant","Democrat"
"Somewhat important",1,1,1,1200,2,4,2,4695.39821903101,"Mainline Protestant","Democrat"
"Not at all important",1,1,2,100000,4,3,3,7402.96829236443,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,3,1100,4,2,1,14589.0757251357,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,1100,1,1,3,1666.40112279301,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,1200,2,3,4,3576.03373316951,"Mainline Protestant","Something else"
"Very important",3,2,3,1200,2,3,3,10076.8093321323,"Mainline Protestant","Independent"
"Very important",1,1,1,10000,2,3,2,39399.4237664484,"Catholic","Democrat"
"Very important",1,1,1,100000,2,3,4,8970.24249981692,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,2,1100,3,3,3,314.003747209295,"Evangelical Protestant","Independent"
"Not too important",2,2,2,100000,4,3,2,3133.73455674163,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,1,50000,3,3,4,12984.3143166395,"Jewish","Something else"
"Very important",1,2,1,40002,2,3,3,6930.65116672779,"Other Christian","Independent"
"Not too important",2,2,2,100000,4,5,2,4607.68609937845,"Religiously Unaffiliated","Democrat"
"Somewhat important",3,3,3,10000,3,3,3,4228.75637910455,"Catholic","Independent"
"Very important",2,1,2,10000,2,3,2,7520.2158900175,"Catholic","Democrat"
"Extremely important",2,2,2,1200,1,1,1,4859.79382964071,"Mainline Protestant","Republican"
"Extremely important",1,1,1,20000,1,2,1,11794.9917566848,"Mormon","Republican"
"Extremely important",2,2,2,1100,1,3,2,2938.19524586258,"Evangelical Protestant","Democrat"
"Not at all important",2,1,2,100000,3,5,4,6854.33622498507,"Religiously Unaffiliated","Something else"
"Very important",2,2,2,1100,2,2,3,1924.32301191716,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,10000,2,3,3,4579.81902771434,"Catholic","Independent"
"Not too important",2,2,2,100000,3,3,2,11733.4959135303,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,1100,1,2,1,5939.38220312684,"Evangelical Protestant","Republican"
"Somewhat important",2,2,2,100000,3,2,1,1983.90820637985,"Religiously Unaffiliated","Republican"
"Not too important",2,1,2,10000,2,3,3,12079.7165384924,"Catholic","Independent"
"Extremely important",1,2,2,1100,2,2,1,15217.1525830425,"Evangelical Protestant","Republican"
"Very important",1,1,2,1200,1,5,2,5815.22602305386,"Mainline Protestant","Democrat"
"Not too important",1,1,1,100000,3,3,1,8675.10407931633,"Religiously Unaffiliated","Republican"
"Not at all important",3,2,3,100000,4,3,3,3607.60726771292,"Religiously Unaffiliated","Independent"
"Very important",1,1,2,10000,2,2,1,3690.40983741087,"Catholic","Republican"
"Very important",2,2,3,1100,3,2,3,18507.4262821976,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,1100,2,2,1,1968.26019660721,"Evangelical Protestant","Republican"
"Extremely important",2,2,3,1100,4,2,1,5145.96655367515,"Evangelical Protestant","Republican"
"Very important",2,2,2,1300,2,3,2,7082.3316883696,"Historically Black Protestant","Democrat"
"Not at all important",2,2,2,100000,4,5,2,1967.64208929474,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,50000,2,2,2,2798.18740724655,"Jewish","Democrat"
"Extremely important",2,2,2,40001,1,3,4,3852.73462252488,"Jehovah's Witness","Something else"
"Somewhat important",2,2,2,10000,3,4,3,4496.14782144948,"Catholic","Independent"
"Very important",2,2,3,1100,1,2,1,9495.38103844852,"Evangelical Protestant","Republican"
"Not at all important",5,1,5,1300,1,5,4,7365.52674969377,"Historically Black Protestant","Something else"
"Not too important",2,1,2,1200,4,4,2,5614.39310365732,"Mainline Protestant","Democrat"
"Very important",2,2,2,1100,2,3,3,10500.2526699785,"Evangelical Protestant","Independent"
"Not at all important",1,2,1,100000,4,5,2,4162.73415430487,"Religiously Unaffiliated","Democrat"
"Not too important",2,3,2,100000,4,4,2,1115.13087754752,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,1100,3,3,3,3614.72848931021,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,90001,3,5,4,11544.2961623346,"Other World Religions","Something else"
"Not too important",2,1,3,1100,2,3,1,8534.52141164857,"Evangelical Protestant","Republican"
"Very important",1,5,2,1300,2,4,2,1707.06339721481,"Historically Black Protestant","Democrat"
"Not too important",2,2,2,100000,3,3,3,2221.54784868498,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,2,1200,2,2,3,2059.17828620956,"Mainline Protestant","Independent"
"Very important",2,2,2,1100,2,2,1,4808.52325576989,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,1100,4,2,1,12169.5998861952,"Evangelical Protestant","Republican"
"Somewhat important",2,2,2,1100,2,3,2,7133.36070733679,"Evangelical Protestant","Democrat"
"Somewhat important",2,1,2,100000,3,5,2,1966.19724002045,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,1,1200,3,3,3,1646.61101179376,"Mainline Protestant","Independent"
"Very important",2,2,2,100000,2,2,4,7347.20004917734,"Religiously Unaffiliated","Something else"
"Somewhat important",2,2,3,10000,2,3,2,874.967772940586,"Catholic","Democrat"
"Extremely important",1,1,2,1100,2,1,1,5963.30255067981,"Evangelical Protestant","Republican"
"Not too important",1,2,2,1200,3,3,3,3366.56040295035,"Mainline Protestant","Independent"
"Not too important",1,2,1,100000,4,5,2,6900.17143051989,"Religiously Unaffiliated","Democrat"
"Very important",1,1,1,10000,2,3,2,2056.20130168712,"Catholic","Democrat"
"Not at all important",1,1,2,100000,4,4,2,430.59302955701,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,2,10000,2,3,1,3563.46143348158,"Catholic","Republican"
"Very important",2,2,3,1200,2,2,1,4220.15785830096,"Mainline Protestant","Republican"
"Extremely important",1,1,1,1200,1,4,2,1207.94256498645,"Mainline Protestant","Democrat"
"Extremely important",2,2,2,1300,1,3,2,8137.98487749512,"Historically Black Protestant","Democrat"
"Not at all important",1,3,1,100000,4,5,4,50317.4306986115,"Religiously Unaffiliated","Something else"
"Very important",1,2,3,10000,2,2,1,5221.41866289448,"Catholic","Republican"
"Extremely important",2,2,2,1100,1,1,1,28611.7770877508,"Evangelical Protestant","Republican"
"Not too important",2,2,2,10000,3,5,1,9021.86409820975,"Catholic","Republican"
"Not too important",1,3,2,100000,4,4,2,3332.41726199949,"Religiously Unaffiliated","Democrat"
"Very important",1,1,2,1100,4,3,3,7808.26251858073,"Evangelical Protestant","Independent"
"Very important",2,2,2,10000,2,5,3,6502.10610007431,"Catholic","Independent"
"Very important",2,1,3,10000,2,1,1,835.586960822887,"Catholic","Republican"
"Not at all important",2,2,2,100000,3,4,2,15304.9158814157,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,100000,4,5,2,3303.88650740069,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,1,3,100000,4,3,3,2806.796486332,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,3,1200,2,2,1,9918.63663613498,"Mainline Protestant","Republican"
"Very important",1,1,2,10000,2,3,2,782.53027155987,"Catholic","Democrat"
"Very important",1,2,1,1200,2,5,2,1768.22613236019,"Mainline Protestant","Democrat"
"Extremely important",2,2,2,1100,1,2,1,5508.92497917334,"Evangelical Protestant","Republican"
"Somewhat important",1,1,2,10000,2,2,2,8016.79930562121,"Catholic","Democrat"
"Extremely important",2,1,2,1100,1,2,1,1710.38998974191,"Evangelical Protestant","Republican"
"Extremely important",2,2,3,1100,1,4,3,7566.37202793056,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,100000,1,3,3,4803.0790682271,"Religiously Unaffiliated","Independent"
"Not at all important",1,1,1,100000,4,4,2,6365.62332673846,"Religiously Unaffiliated","Democrat"
"Not too important",3,1,3,100000,4,4,3,7137.75892708702,"Religiously Unaffiliated","Independent"
"Very important",2,2,1,100000,2,2,1,38170.8440512681,"Religiously Unaffiliated","Republican"
"Somewhat important",2,2,2,10000,2,3,3,2793.24646409913,"Catholic","Independent"
"Somewhat important",1,1,1,10000,2,3,3,1444.45135175531,"Catholic","Independent"
"Very important",2,2,2,1100,2,3,2,4728.71278221886,"Evangelical Protestant","Democrat"
"Not too important",2,1,2,1100,3,1,1,61815.0689402456,"Evangelical Protestant","Republican"
"Extremely important",1,2,2,1100,2,3,3,3499.32801432212,"Evangelical Protestant","Independent"
"Somewhat important",3,1,3,1200,2,2,1,9807.38278430162,"Mainline Protestant","Republican"
"Not too important",1,1,1,90002,3,3,4,3359.15027016204,"Other Faiths","Something else"
"Extremely important",2,1,1,1100,2,3,3,6270.04440622565,"Evangelical Protestant","Independent"
"Somewhat important",3,2,1,100000,2,4,4,12722.3566038764,"Religiously Unaffiliated","Something else"
"Extremely important",2,2,2,1200,2,3,2,5129.0354526134,"Mainline Protestant","Democrat"
"Not too important",2,1,2,80000,3,3,3,1761.93377718126,"Hindu","Independent"
"Extremely important",1,1,2,10000,2,3,2,10172.681027164,"Catholic","Democrat"
"Extremely important",3,2,3,1100,1,2,1,11866.6017416409,"Evangelical Protestant","Republican"
"Somewhat important",1,2,2,50000,3,3,2,6869.6093788347,"Jewish","Democrat"
"Somewhat important",1,2,2,1200,2,2,3,7408.34365797215,"Mainline Protestant","Independent"
"Very important",3,3,3,1100,2,3,4,20977.2367686746,"Evangelical Protestant","Something else"
"Not too important",2,2,1,100000,4,3,2,1048.9424020386,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,10000,2,1,1,6214.7358367306,"Catholic","Republican"
"Very important",1,1,1,10000,1,2,3,1193.45567720379,"Catholic","Independent"
"Not too important",1,2,2,50000,2,4,2,2651.2029457945,"Jewish","Democrat"
"Somewhat important",1,2,2,50000,3,3,2,1792.25525658201,"Jewish","Democrat"
"Extremely important",1,1,1,1100,1,4,2,1987.73598704478,"Evangelical Protestant","Democrat"
"Somewhat important",2,2,3,10000,3,2,1,5422.88182613861,"Catholic","Republican"
"Somewhat important",1,1,1,100000,3,4,2,2446.8269109985,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,1200,4,5,2,3962.84717613437,"Mainline Protestant","Democrat"
"Somewhat important",1,2,1,10000,3,5,2,2384.23387715509,"Catholic","Democrat"
"Not too important",2,2,3,1200,3,3,2,2191.50393517431,"Mainline Protestant","Democrat"
"Somewhat important",1,1,1,100000,4,3,3,1234.90066980195,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,10000,2,2,1,1739.87040651414,"Catholic","Republican"
"Not too important",2,2,3,1200,3,2,1,4488.72502775341,"Mainline Protestant","Republican"
"Extremely important",1,1,1,100000,2,3,1,5578.03301578516,"Religiously Unaffiliated","Republican"
"Extremely important",1,1,1,1100,2,2,1,44838.901814746,"Evangelical Protestant","Republican"
"Extremely important",1,1,2,1100,2,2,3,1141.12408169336,"Evangelical Protestant","Independent"
"Very important",1,1,1,1100,1,3,2,4901.13476495452,"Evangelical Protestant","Democrat"
"Very important",2,2,2,1100,2,3,3,2196.44163792945,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,90002,1,4,3,2703.06952399047,"Other Faiths","Independent"
"Somewhat important",2,2,3,10000,2,3,2,4006.89046877323,"Catholic","Democrat"
"Extremely important",2,1,1,10000,2,4,4,13366.1568132291,"Catholic","Something else"
"Very important",1,1,1,1200,2,1,4,1027.03046451645,"Mainline Protestant","Something else"
"Extremely important",2,1,3,1300,2,2,1,10668.8821089478,"Historically Black Protestant","Republican"
"Not too important",2,2,2,70000,4,3,4,45287.2167245802,"Buddhist","Something else"
"Somewhat important",1,1,1,1100,3,4,2,5567.98549568144,"Evangelical Protestant","Democrat"
"Not at all important",1,1,1,1200,3,5,2,1926.47549096902,"Mainline Protestant","Democrat"
"Somewhat important",2,2,3,100000,3,2,1,10373.1633458575,"Religiously Unaffiliated","Republican"
"Not too important",1,1,1,10000,3,4,3,5827.08422755064,"Catholic","Independent"
"Extremely important",2,1,3,1100,1,1,3,40784.298110018,"Evangelical Protestant","Independent"
"Very important",2,1,2,1100,2,3,3,11681.7224001631,"Evangelical Protestant","Independent"
"Not too important",2,2,2,100000,4,4,2,3642.8651048146,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,1,10000,4,1,1,2179.68231070854,"Catholic","Republican"
"Somewhat important",1,1,1,1100,3,3,3,6049.54271045626,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,3,3,6093.63128464503,"Religiously Unaffiliated","Independent"
"Not too important",1,2,1,100000,3,3,1,6909.87445684764,"Religiously Unaffiliated","Republican"
"Extremely important",1,1,2,1100,2,1,1,1901.89511690945,"Evangelical Protestant","Republican"
"Extremely important",1,1,2,1200,2,2,1,3826.19790534606,"Mainline Protestant","Republican"
"Extremely important",1,3,4,1100,2,1,3,9059.81651194496,"Evangelical Protestant","Independent"
"Somewhat important",1,1,2,100000,2,3,3,9455.26666721152,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,3,1100,1,1,4,3550.61944583855,"Evangelical Protestant","Something else"
"Not too important",1,2,1,1200,2,4,2,11667.6175556535,"Mainline Protestant","Democrat"
"Not too important",1,1,1,100000,4,3,4,1365.21320225254,"Religiously Unaffiliated","Something else"
"Not too important",2,1,2,100000,4,3,3,1687.21900434904,"Religiously Unaffiliated","Independent"
"Extremely important",2,2,2,1200,1,2,1,458.245215501112,"Mainline Protestant","Republican"
"Extremely important",1,1,5,1100,2,2,1,4468.91720565765,"Evangelical Protestant","Republican"
"Very important",1,2,1,1200,3,3,2,1740.63933787062,"Mainline Protestant","Democrat"
"Extremely important",1,1,2,1300,1,2,3,10852.5084569944,"Historically Black Protestant","Independent"
"Somewhat important",1,1,1,10000,3,3,2,4128.34484724876,"Catholic","Democrat"
"Very important",3,2,2,1300,1,4,1,5720.42257121262,"Historically Black Protestant","Republican"
"Extremely important",2,2,2,1100,2,2,1,9562.42063361544,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,50000,1,3,1,9101.67065568347,"Jewish","Republican"
"Very important",1,3,1,10000,2,3,1,15425.2848729532,"Catholic","Republican"
"Extremely important",2,2,2,10000,1,2,2,15226.4922993186,"Catholic","Democrat"
"Extremely important",1,2,2,1100,2,4,2,49986.4011432338,"Evangelical Protestant","Democrat"
"Extremely important",1,1,1,1100,2,2,1,4126.44716362179,"Evangelical Protestant","Republican"
"Somewhat important",1,1,1,100000,2,3,3,2222.89461746784,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,60000,1,5,2,6559.49135317024,"Muslim","Democrat"
"Extremely important",2,3,3,1300,1,3,3,5957.52694737637,"Historically Black Protestant","Independent"
"Very important",2,2,2,1200,2,5,3,1595.48076316542,"Mainline Protestant","Independent"
"Somewhat important",2,1,3,20000,3,2,1,28634.0545862975,"Mormon","Republican"
"Somewhat important",1,1,2,1200,2,2,1,2157.28749575556,"Mainline Protestant","Republican"
"Extremely important",1,1,1,1100,1,1,1,1440.91522159574,"Evangelical Protestant","Republican"
"Not too important",1,1,1,100000,4,3,3,2908.35490820085,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,40002,3,1,3,8735.60517608702,"Other Christian","Independent"
"Not at all important",1,3,1,100000,4,5,2,1545.28532297444,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,10000,3,3,1,5315.87609124934,"Catholic","Republican"
"Very important",1,1,1,100000,2,2,3,2870.93014648337,"Religiously Unaffiliated","Independent"
"Not too important",1,1,1,10000,3,3,2,23278.5197457295,"Catholic","Democrat"
"Extremely important",1,1,2,1100,1,1,1,5521.83532694473,"Evangelical Protestant","Republican"
"Very important",2,2,2,1100,2,2,2,17612.7652124568,"Evangelical Protestant","Democrat"
"Very important",2,2,2,1100,1,4,2,3365.23542935765,"Evangelical Protestant","Democrat"
"Not too important",1,1,2,100000,4,2,1,7971.22568119732,"Religiously Unaffiliated","Republican"
"Very important",1,1,2,1100,2,3,1,7004.39926322535,"Evangelical Protestant","Republican"
"Somewhat important",1,2,1,40002,1,3,2,1085.97927183791,"Other Christian","Democrat"
"Somewhat important",3,2,3,1100,2,3,1,1653.50545143784,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1100,1,1,1,8316.12201706255,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,1200,3,3,4,12118.8906058778,"Mainline Protestant","Something else"
"Extremely important",1,1,2,10000,3,4,2,3573.9791090021,"Catholic","Democrat"
"Not at all important",1,1,1,10000,1,3,2,1413.09473040699,"Catholic","Democrat"
"Very important",2,2,2,80000,2,3,2,7442.76542901161,"Hindu","Democrat"
"Extremely important",1,1,2,1100,2,1,1,47176.9745489209,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,1100,1,1,1,14285.4133812402,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1100,2,1,1,18237.8903805686,"Evangelical Protestant","Republican"
"Somewhat important",1,2,1,100000,4,4,2,2884.02188628593,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,3,90002,3,2,1,9918.63663613498,"Other Faiths","Republican"
"Somewhat important",2,1,3,1100,2,2,1,3671.89317102158,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,1100,4,5,4,4331.40549439849,"Evangelical Protestant","Something else"
"Not at all important",2,2,2,100000,3,4,2,7784.45836939482,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,2,1100,1,3,3,2560.92913819691,"Evangelical Protestant","Independent"
"Extremely important",1,1,1,1100,1,2,1,8096.42975902375,"Evangelical Protestant","Republican"
"Not too important",2,1,1,100000,3,3,1,5313.98432290553,"Religiously Unaffiliated","Republican"
"Not too important",3,3,3,70000,2,5,3,1527.7840882457,"Buddhist","Independent"
"Somewhat important",2,1,1,1300,2,4,2,2356.03973418928,"Historically Black Protestant","Democrat"
"Somewhat important",1,1,1,100000,3,5,2,23863.4598344953,"Religiously Unaffiliated","Democrat"
"Not too important",2,1,2,1100,3,3,3,2920.96642567569,"Evangelical Protestant","Independent"
"Extremely important",2,2,3,1200,2,3,2,10296.2895247994,"Mainline Protestant","Democrat"
"Not too important",1,1,1,100000,3,3,3,3892.67756656641,"Religiously Unaffiliated","Independent"
"Not at all important",1,1,1,100000,4,5,2,471.472459231739,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,10000,3,3,3,3233.28643885659,"Catholic","Independent"
"Very important",2,2,2,1100,2,3,4,3907.3155682185,"Evangelical Protestant","Something else"
"Extremely important",1,1,3,1100,1,3,2,1199.89223539919,"Evangelical Protestant","Democrat"
"Somewhat important",2,1,1,10000,3,4,2,6511.16353113536,"Catholic","Democrat"
"Extremely important",1,1,1,1100,2,2,3,3503.81924530059,"Evangelical Protestant","Independent"
"Extremely important",2,2,3,1100,2,1,4,3477.16907338918,"Evangelical Protestant","Something else"
"Not too important",1,1,1,100000,4,5,2,19867.148437718,"Religiously Unaffiliated","Democrat"
"Very important",2,2,3,10000,1,2,4,6507.30248827603,"Catholic","Something else"
"Not too important",4,1,4,1200,1,1,1,1097.66570615969,"Mainline Protestant","Republican"
"Extremely important",2,2,3,1100,2,1,1,6283.12600055926,"Evangelical Protestant","Republican"
"Extremely important",1,2,1,1100,2,2,1,4312.44995931069,"Evangelical Protestant","Republican"
"Somewhat important",1,1,2,100000,2,3,1,10120.7133283281,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,3,100000,3,3,3,2945.18754768689,"Religiously Unaffiliated","Independent"
"Not too important",1,1,1,100000,3,5,2,2399.45606859618,"Religiously Unaffiliated","Democrat"
"Not at all important",1,3,1,100000,4,4,2,16389.3816191979,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,100000,4,4,2,4868.31394494369,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,2,1100,2,3,3,2416.90295613464,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,3,3,2160.70739853818,"Religiously Unaffiliated","Independent"
"Not at all important",1,1,1,60000,4,3,2,5524.34796918802,"Muslim","Democrat"
"Extremely important",2,2,3,60000,1,5,3,31986.6945408324,"Muslim","Independent"
"Very important",2,2,3,1200,2,3,3,4540.3337660248,"Mainline Protestant","Independent"
"Very important",1,2,1,1200,2,2,2,7770.98635364933,"Mainline Protestant","Democrat"
"Somewhat important",2,1,1,1200,3,3,2,1413.09473040699,"Mainline Protestant","Democrat"
"Extremely important",1,1,1,1200,2,1,1,6635.28069392073,"Mainline Protestant","Republican"
"Extremely important",2,2,2,20000,1,3,3,2631.44164681757,"Mormon","Independent"
"Not at all important",1,3,1,100000,4,5,2,4578.85857825447,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,100000,2,3,4,16265.9723430399,"Religiously Unaffiliated","Something else"
"Somewhat important",2,2,2,90002,3,3,3,7029.06441757761,"Other Faiths","Independent"
"Not at all important",1,1,1,100000,4,5,2,2692.601058217,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,2,2,1200,3,4,2,1797.74210199699,"Mainline Protestant","Democrat"
"Somewhat important",2,2,2,10000,3,3,2,21970.8677092081,"Catholic","Democrat"
"Not at all important",2,2,1,100000,4,4,2,7942.54128802191,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,100000,4,5,2,5641.51898907504,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,1300,2,3,2,4867.74065974325,"Historically Black Protestant","Democrat"
"Somewhat important",2,2,3,1100,2,2,1,3169.99840334613,"Evangelical Protestant","Republican"
"Extremely important",2,2,4,10000,1,1,1,2706.37222643555,"Catholic","Republican"
"Very important",2,2,3,1100,3,2,3,554.286647299663,"Evangelical Protestant","Independent"
"Somewhat important",1,3,1,1200,2,3,2,3512.73036304824,"Mainline Protestant","Democrat"
"Not too important",2,2,2,100000,3,3,1,4583.8629951926,"Religiously Unaffiliated","Republican"
"Extremely important",1,1,2,10000,1,1,1,1918.34902211387,"Catholic","Republican"
"Somewhat important",2,1,2,100000,3,3,3,7357.34431836988,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,2,10000,2,2,1,7490.61163823154,"Catholic","Republican"
"Extremely important",2,2,2,1100,2,2,3,4209.58746746931,"Evangelical Protestant","Independent"
"Not too important",1,1,2,100000,4,5,4,4804.9333499581,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,1,30000,2,2,2,4427.14095377984,"Orthodox Christian","Democrat"
"Extremely important",2,1,1,1200,1,3,2,30039.0949282753,"Mainline Protestant","Democrat"
"Not at all important",3,3,3,100000,4,3,4,2570.30456605204,"Religiously Unaffiliated","Something else"
"Not at all important",1,2,2,100000,4,4,2,1134.32328782083,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,2,10000,1,2,1,6073.35624519136,"Catholic","Republican"
"Very important",2,2,1,10000,1,2,1,25258.0607785801,"Catholic","Republican"
"Somewhat important",2,2,2,100000,4,4,4,8562.8825941595,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,1,20000,1,2,4,21952.5195222511,"Mormon","Something else"
"Very important",2,2,2,1200,2,2,1,11628.8000095914,"Mainline Protestant","Republican"
"Extremely important",1,1,1,20000,1,1,1,3741.66121868624,"Mormon","Republican"
"Very important",1,3,2,1300,1,4,4,13703.0671038299,"Historically Black Protestant","Something else"
"Extremely important",1,3,1,1200,2,2,1,4340.22998232081,"Mainline Protestant","Republican"
"Not too important",1,3,4,100000,2,1,1,10980.682887469,"Religiously Unaffiliated","Republican"
"Somewhat important",2,2,2,100000,3,4,2,8008.77718539776,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,100000,4,4,4,10252.1985928049,"Religiously Unaffiliated","Something else"
"Not too important",1,1,2,100000,3,4,2,3443.61858089082,"Religiously Unaffiliated","Democrat"
"Very important",1,2,1,1100,2,2,1,12235.4462236291,"Evangelical Protestant","Republican"
"Not at all important",1,2,3,100000,4,4,3,4496.14043038821,"Religiously Unaffiliated","Independent"
"Somewhat important",1,2,1,10000,2,4,2,5525.21872171964,"Catholic","Democrat"
"Somewhat important",1,1,1,100000,2,3,3,1071.74629321243,"Religiously Unaffiliated","Independent"
"Extremely important",2,1,1,1100,1,4,2,18195.6398894343,"Evangelical Protestant","Democrat"
"Somewhat important",3,3,3,1200,3,1,1,10071.039126143,"Mainline Protestant","Republican"
"Very important",1,1,1,1100,1,3,3,6033.14040458692,"Evangelical Protestant","Independent"
"Not at all important",1,3,2,100000,4,5,2,2320.27284853695,"Religiously Unaffiliated","Democrat"
